"You will be charged an extra fee of %s","Du vil blive opkrævet et yderligere gebyr på %s"
"Payment failed, ","Betaling mislykkedes, "
"Security Number - %s, ","Kontrolkode - %s, "
"Payment method - %s","Betalingsmetode - %s"
"Payment confirmed, ","Betaling bekræftet, "
"Error in creating an invoice","Fejl i oprettelsen af faktura"
"Invoice #%s created","Faktura #%s oprettet"
"SveaWebPay Transaction Failed.","SveaWebPay Transaktion Mislykkedes."
"Payment process has been canceled.","Betalingsproces er blevet afbrudt."
"The payment has been cancelled by the user before the transaction was completed.","Betalingsprocessen er blevet afbrudt af brugeren, før overførslen var afsluttet."
"Invalid or incorrect information was provided by the user (such as personal identification number etc).","Ugyldig eller forkert information blev oplyst af brugeren (såsom personnummer etc)."
"Payment was rejected by the bank (the user lacks credit, reported as abusive etc).","Betaling blev afvist af banken (brugeren har ikke kredit, er registreret som svindler etc.)."
"Internal system error such as databases are down, resources not available etc.","Indre systemfejl såsom at databaser er nede, ressourcer ikke er til rådighed etc."
"External system error. A third party system was unable to service the payment request and reported an error.","Ydre systemfejl. En tredje systempart var ude af stand til at behandle betalingsanmodningen og rapporterede en fejl."
"Payment was canceled by user.","Betaling blev afbrudt af bruger."
"Error processing payment","Fejl ved behandling af betaling"
