"SveaWebPayHostedStatusCode0","Betaling gennemført "
"SveaWebPayHostedStatusCode1","Betaling gennemført men der kræves manuel undersøgelse af butiksindehaveren, tilgængelige betalingsmetoder: PAYPAL"
"SveaWebPayHostedStatusCode100","Ugyldigt – kontakt integratøren"
"SveaWebPayHostedStatusCode101","Ugyldig XML"
"SveaWebPayHostedStatusCode102","Ugyldig encoding"
"SveaWebPayHostedStatusCode104","Ugyldig URL"
"SveaWebPayHostedStatusCode105","Ugyldig transaktionsstatus"
"SveaWebPayHostedStatusCode106","Mislykket ved tredjepart f.eks. ved bank"
"SveaWebPayHostedStatusCode107","Transaktion afvist af banken"
"SveaWebPayHostedStatusCode108","Transaktion afbrudt"
"SveaWebPayHostedStatusCode109","Transaktion ikke fundet hos banken"
"SveaWebPayHostedStatusCode110","Ugyldigt transaktionsID"
"SveaWebPayHostedStatusCode111","ButiksID ej konfigureret"
"SveaWebPayHostedStatusCode112","Butik ej fundet i banken"
"SveaWebPayHostedStatusCode113","Betalingsmetode ej konfigureret for denne butik"
"SveaWebPayHostedStatusCode114","Time out hos banken"
"SveaWebPayHostedStatusCode115","Butikken er lukket"
"SveaWebPayHostedStatusCode116","Betalingsmetode lukket"
"SveaWebPayHostedStatusCode117","Ugyldigt godkendt beløb"
"SveaWebPayHostedStatusCode118","Ugyldigt beløb"
"SveaWebPayHostedStatusCode119","Ugyldigt krediteret"
"SveaWebPayHostedStatusCode120","Ikke tiltrækkelige midler"
"SveaWebPayHostedStatusCode121","Kreditkort er udløbet"
"SveaWebPayHostedStatusCode122","Kort stjålet"
"SveaWebPayHostedStatusCode123","Kort bortkommet"
"SveaWebPayHostedStatusCode124","Beløb overstiger maksimumgrænsen"
"SveaWebPayHostedStatusCode125","Frekvensgrænse passeret"
"SveaWebPayHostedStatusCode126","Transaktion hører ej til butikken"
"SveaWebPayHostedStatusCode127","Kundereferencenummer"
"SveaWebPayHostedStatusCode128","Transaktion eksisterer ikke"
"SveaWebPayHostedStatusCode129","Mere end én transaktion er fundet ud for den givne kundes referencenummer"
"SveaWebPayHostedStatusCode130","Handling ikke tilladt ved den pågældende betalingsmetode"
"SveaWebPayHostedStatusCode131","Virksomhed inaktiv"
"SveaWebPayHostedStatusCode132","Abonnement eksisterer ikke"
"SveaWebPayHostedStatusCode133","Abonnement er ikke aktivt"
"SveaWebPayHostedStatusCode134","Betalingsmetode understøtter ikke abonnementer"
"SveaWebPayHostedStatusCode135","Illegal datoformat"
"SveaWebPayHostedStatusCode136","Illegalt responsdata"
"SveaWebPayHostedStatusCode137","Ignorér tilbagekald"
"SveaWebPayHostedStatusCode138","Valutaen ej konfigureret"
"SveaWebPayHostedStatusCode139","Valutaen ej aktiv."
"SveaWebPayHostedStatusCode140","Valutaen er allerede konfigureret"
"SveaWebPayHostedStatusCode141","Ulovligt mange forespørgsler for dagen."
"SveaWebPayHostedStatusCode142","Intet korrekt betalingsalternativ."
"SveaWebPayHostedStatusCode300","Ugyldigt navn for kortindehaveren."" "
"SveaWebPayHostedStatusCode301","Ugyldigt transaktions-id"
"SveaWebPayHostedStatusCode302","Ugyldig værdi for rev"
"SveaWebPayHostedStatusCode303","Ugyldig værdi for butiks-id"
"SveaWebPayHostedStatusCode304","Ugyldig værdi for sprog"
"SveaWebPayHostedStatusCode305","Ugyldig prisværdi"
"SveaWebPayHostedStatusCode306","Ugyldig værdi for kundereferencenummer"
"SveaWebPayHostedStatusCode307","Ugyldig værdi for valuta"
"SveaWebPayHostedStatusCode308","Ugyldig værdi for betalingsalternativ"
"SveaWebPayHostedStatusCode309","Ugyldig værdi for returadresse"
"SveaWebPayHostedStatusCode310","Ugyldig værdi for sidste reservationsdato"
"SveaWebPayHostedStatusCode311","Ugyldig mac-værdi"
"SveaWebPayHostedStatusCode312","Ugyldigt følge-id"
"SveaWebPayHostedStatusCode313","Ugyldig autorisationskode"
"SveaWebPayHostedStatusCode314","Ugyldig værdi for kort beskrivelse"
"SveaWebPayHostedStatusCode315","Ugyldig værdi for fejlkode"
"SveaWebPayHostedStatusCode316","Korttype ej konfigureret for butik"
"SveaWebPayHostedStatusCode317","Fejlagtig værdi for personnummer"
"SveaWebPayHostedStatusCode318","Fejlagtig værdi for moms."
"SveaWebPayHostedStatusCode319","Fejlagtig værdi for oprettelse af ordredato."
"SveaWebPayHostedStatusCode320","Ugyldig kampagnekode angivet. Ingen kampagnekode fundet."
"SveaWebPayHostedStatusCode321","Fejlagtig abonnementstype"
"SveaWebPayHostedStatusCode322","Fejlagtig abonnements-id"
"SveaWebPayHostedStatusCode323","Fejlagtig base64"
"SveaWebPayHostedStatusCode324","Fejlagtig kampangekode, værdi mangler."
"SveaWebPayHostedStatusCode325","Fejlagtig returaddresse."
"SveaWebPayHostedStatusCode500","Antisvindel - Kort-BIN ikke tilladt Technical Specification SveaWebPay 1.4.3 39"
"SveaWebPayHostedStatusCode501","Antisvindel – IP-placering ikke tilladt"
